Corrected upload audit
DB rows: 1478
Existing: 0
Missing: 1478

--- Missing file rows ---
FileID=1604, Contract=26-검토-056, Original=삼인견적서_지적측량_횡성군37호.pdf, FilePath=/static/uploads/2026/20260617_165825_삼인견적서_지적측량_횡성군37호.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_165825_삼인견적서_지적측량_횡성군37호.pdf_temp
FileID=1603, Contract=26-용역-039, Original=계약내역서용인시하수처리구역구조화편집용역.pdf, FilePath=/static/uploads/2026/20260617_165524_계약내역서용인시하수처리구역구조화편집용역.pdf_26-용역-039, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_165524_계약내역서용인시하수처리구역구조화편집용역.pdf_26-용역-039
FileID=1601, Contract=26-용역-039, Original=과업지시서용인시하수처리구역구조화편집용역.pdf, FilePath=/static/uploads/2026/20260617_165428_과업지시서용인시하수처리구역구조화편집용역.pdf_26-용역-039, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_165428_과업지시서용인시하수처리구역구조화편집용역.pdf_26-용역-039
FileID=1600, Contract=24-용역-035-00, Original=용역변경계약서초안.pdf, FilePath=/static/uploads/2026/20260617_164647_용역변경계약서초안.pdf_24-용역-035-00, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_164647_용역변경계약서초안.pdf_24-용역-035-00
FileID=1599, Contract=24-용역-035-00, Original=2-1.강북권역변경설계서총차.xlsx, FilePath=/static/uploads/2026/20260617_164644_2-1.강북권역변경설계서총차.xlsx_24-용역-035-00, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_164644_2-1.강북권역변경설계서총차.xlsx_24-용역-035-00
FileID=1598, Contract=26-용역-005-03, Original=2-2.강북권역변경설계서3차.xlsx, FilePath=/static/uploads/2026/20260617_164455_2-2.강북권역변경설계서3차.xlsx_26-용역-005-03, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_164455_2-2.강북권역변경설계서3차.xlsx_26-용역-005-03
FileID=1597, Contract=26-용역-005-03, Original=용역변경계약서초안.pdf, FilePath=/static/uploads/2026/20260617_164452_용역변경계약서초안.pdf_26-용역-005-03, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260617_164452_용역변경계약서초안.pdf_26-용역-005-03
FileID=1591, Contract=26-검토-055, Original=영주시_과업지시서.pdf, FilePath=/static/uploads/2026/20260615_174418_영주시_과업지시서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260615_174418_영주시_과업지시서.pdf_temp
FileID=1590, Contract=26-검토-055, Original=영주시_제안요청서.pdf, FilePath=/static/uploads/2026/20260615_174418_영주시_제안요청서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260615_174418_영주시_제안요청서.pdf_temp
FileID=1589, Contract=26-검토-055, Original=영주시_공고문.pdf, FilePath=/static/uploads/2026/20260615_174418_영주시_공고문.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260615_174418_영주시_공고문.pdf_temp
FileID=1588, Contract=26-검토-054, Original=영동군_제안요청서.pdf, FilePath=/static/uploads/2026/20260615_171608_영동군_제안요청서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260615_171608_영동군_제안요청서.pdf_temp
FileID=1587, Contract=26-검토-054, Original=영동군_공고문.pdf, FilePath=/static/uploads/2026/20260615_171608_영동군_공고문.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260615_171608_영동군_공고문.pdf_temp
FileID=1586, Contract=26-검토-053, Original=붙임설계내역서용인시하수처리구역구조화편집용역.pdf, FilePath=/static/uploads/2026/20260612_111031_붙임설계내역서용인시하수처리구역구조화편집용역.pdf_26-검토-053, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260612_111031_붙임설계내역서용인시하수처리구역구조화편집용역.pdf_26-검토-053
FileID=1585, Contract=26-검토-053, Original=붙임과업지시서용인시하수처리구역구조화편집용역.pdf, FilePath=/static/uploads/2026/20260612_111031_붙임과업지시서용인시하수처리구역구조화편집용역.pdf_26-검토-053, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260612_111031_붙임과업지시서용인시하수처리구역구조화편집용역.pdf_26-검토-053
FileID=1584, Contract=25-용역-062, Original=용역계약서.pdf, FilePath=/static/uploads/2026/20260609_173956_용역계약서.pdf_25-용역-062, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260609_173956_용역계약서.pdf_25-용역-062
FileID=1583, Contract=25-용역-059-01, Original=산출내역서영주시도로대장전산화용역-1차.pdf, FilePath=/static/uploads/2026/20260609_173331_산출내역서영주시도로대장전산화용역-1차.pdf_25-용역-059-01, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260609_173331_산출내역서영주시도로대장전산화용역-1차.pdf_25-용역-059-01
FileID=1582, Contract=25-용역-059-01, Original=용역변경계약서.pdf, FilePath=/static/uploads/2026/20260609_173329_용역변경계약서.pdf_25-용역-059-01, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260609_173329_용역변경계약서.pdf_25-용역-059-01
